
[34;1mRun n.º 1[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  2    0   0   0    0   0   2    0   0   0    1   1   1
  1    0   0   0    0   0   2    0   0   0    1   1   1
  2    0   0   0    0   0   2    0   1   1    1   1   1
  2    0   0   0    0   0   0    0   1   1    1   1   1
  2    0   0   1    0   0   0    0   1   1    1   1   1
  2    0   1   1    0   0   0    0   1   1    1   1   1
  2    0   1   0    0   0   0    0   1   1    1   1   1
  2    0   2   0    0   0   0    0   1   1    1   1   1
  2    0   0   0    0   0   0    0   1   1    1   1   1
  2    0   0   0    1   0   0    0   0   0    1   1   1
  2    0   0   0    2   0   0    0   0   0    2   1   1
  1    0   0   0    2   0   0    0   0   0    2   1   1
  2    0   0   0    2   0   0    1   0   1    2   1   1
  2    0   0   1    2   0   0    1   0   1    2   1   1
  2    0   0   0    2   0   0    1   0   1    2   1   1
  2    0   0   0    0   0   0    1   0   1    2   1   1
  2    1   0   0    0   0   0    1   0   1    2   1   1
  2    2   0   0    0   0   0    1   0   1    2   1   1
  2    0   0   0    0   0   0    1   0   1    2   1   1
  2    0   0   0    0   1   0    0   0   0    2   1   1
  2    0   0   0    0   2   0    0   0   0    2   2   1
  3    0   0   0    0   2   0    0   0   0    2   2   1
  3    0   0   3    0   2   0    0   0   0    2   2   1
  3    3   0   3    0   2   0    0   0   0    2   2   1
  3    3   3   3    0   2   0    0   0   0    2   2   1
  3    3   3   3    0   2   3    0   0   0    2   2   1
  3    3   3   3    0   0   3    0   0   0    2   2   1
  3    3   3   3    3   0   3    0   0   0    2   2   1
  3    3   3   3    3   3   3    0   0   0    2   2   1

[34;1mRun n.º 2[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    1   0   0    0   0   0    1   0   1    0   0   0
  2    1   0   1    0   0   0    1   0   1    0   0   0
  2    0   0   1    0   0   0    1   0   1    0   0   0
  2    0   0   2    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   1   0    0   0   0    0   0   0
  2    0   0   0    0   1   0    0   0   0    0   0   0
  2    0   0   0    0   2   0    0   0   0    0   1   0
  1    0   0   0    0   2   0    0   0   0    0   1   0
  2    0   0   0    0   2   0    1   1   0    0   1   0
  2    0   1   0    0   2   0    1   1   0    0   1   0
  2    0   1   0    0   0   0    1   1   0    0   1   0
  2    0   0   0    0   0   0    1   1   0    0   1   0
  2    1   0   0    0   0   0    1   1   0    0   1   0
  2    2   0   0    0   0   0    1   1   0    0   1   0
  2    0   0   0    0   0   0    1   1   0    0   1   0
  2    0   0   0    0   0   1    0   0   0    0   1   0
  2    0   0   0    0   0   2    0   0   0    0   1   1
  1    0   0   0    0   0   2    0   0   0    0   1   1
  2    0   0   0    0   0   2    1   0   1    0   1   1
  2    1   0   0    0   0   2    1   0   1    0   1   1
  2    1   0   0    0   0   0    1   0   1    0   1   1
  2    0   0   0    0   0   0    1   0   1    0   1   1
  2    0   0   1    0   0   0    1   0   1    0   1   1
  2    0   0   2    0   0   0    1   0   1    0   1   1
  2    0   0   0    0   0   0    1   0   1    0   1   1
  2    0   0   0    0   1   0    0   0   0    0   1   1
  2    0   0   0    0   2   0    0   0   0    0   2   1
  1    0   0   0    0   2   0    0   0   0    0   2   1
  2    0   0   0    0   2   0    1   0   1    0   2   1
  2    0   0   1    0   2   0    1   0   1    0   2   1
  2    0   0   0    0   2   0    1   0   1    0   2   1
  2    0   0   0    0   0   0    1   0   1    0   2   1
  2    1   0   0    0   0   0    1   0   1    0   2   1
  2    2   0   0    0   0   0    1   0   1    0   2   1
  2    0   0   0    0   0   0    1   0   1    0   2   1
  2    0   0   0    0   1   0    0   0   0    0   2   1
  2    0   0   0    0   2   0    0   0   0    0   3   1
  1    0   0   0    0   2   0    0   0   0    0   3   1
  2    0   0   0    0   2   0    0   1   1    0   3   1
  2    0   0   0    0   0   0    0   1   1    0   3   1
  2    0   1   0    0   0   0    0   1   1    0   3   1
  2    0   1   1    0   0   0    0   1   1    0   3   1
  2    0   0   1    0   0   0    0   1   1    0   3   1
  2    0   0   2    0   0   0    0   1   1    0   3   1
  2    0   0   0    0   0   0    0   1   1    0   3   1
  2    0   0   0    1   0   0    0   0   0    0   3   1
  2    0   0   0    2   0   0    0   0   0    1   3   1
  3    0   0   0    2   0   0    0   0   0    1   3   1
  3    3   0   0    2   0   0    0   0   0    1   3   1
  3    3   3   0    2   0   0    0   0   0    1   3   1
  3    3   3   3    2   0   0    0   0   0    1   3   1
  3    3   3   3    2   3   0    0   0   0    1   3   1
  3    3   3   3    0   3   0    0   0   0    1   3   1
  3    3   3   3    0   3   3    0   0   0    1   3   1
  3    3   3   3    3   3   3    0   0   0    1   3   1

[34;1mRun n.º 3[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   1   1    0   0   0
  1    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   1   0    0   0   0    0   1   1    0   0   0
  2    0   1   0    0   0   0    0   1   1    0   0   0
  2    0   1   1    0   0   0    0   1   1    0   0   0
  2    0   0   1    0   0   0    0   1   1    0   0   0
  2    0   0   2    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    1   0   0    0   0   0    0   0   0
  2    0   0   0    2   0   0    0   0   0    1   0   0
  1    0   0   0    2   0   0    0   0   0    1   0   0
  2    0   0   0    2   0   0    1   0   1    1   0   0
  2    1   0   0    2   0   0    1   0   1    1   0   0
  2    0   0   0    2   0   0    1   0   1    1   0   0
  2    0   0   0    0   0   0    1   0   1    1   0   0
  2    0   0   1    0   0   0    1   0   1    1   0   0
  2    0   0   2    0   0   0    1   0   1    1   0   0
  2    0   0   0    0   0   0    1   0   1    1   0   0
  2    0   0   0    0   1   0    0   0   0    1   0   0
  2    0   0   0    0   2   0    0   0   0    1   1   0
  1    0   0   0    0   2   0    0   0   0    1   1   0
  2    0   0   0    0   2   0    1   0   1    1   1   0
  2    1   0   0    0   2   0    1   0   1    1   1   0
  2    1   0   1    0   2   0    1   0   1    1   1   0
  2    0   0   1    0   2   0    1   0   1    1   1   0
  2    0   0   2    0   2   0    1   0   1    1   1   0
  2    0   0   0    0   2   0    1   0   1    1   1   0
  2    0   0   0    0   0   0    1   0   1    1   1   0
  2    0   0   0    0   1   0    0   0   0    1   1   0
  2    0   0   0    0   2   0    0   0   0    1   2   0
  1    0   0   0    0   2   0    0   0   0    1   2   0
  1    1   0   0    0   2   0    1   1   0    1   2   0
  2    1   0   0    0   2   0    1   1   0    1   2   0
  2    0   0   0    0   2   0    1   1   0    1   2   0
  2    0   0   0    0   0   0    1   1   0    1   2   0
  2    0   1   0    0   0   0    1   1   0    1   2   0
  2    0   2   0    0   0   0    1   1   0    1   2   0
  2    0   0   0    0   0   0    1   1   0    1   2   0
  2    0   0   0    0   0   1    0   0   0    1   2   0
  2    0   0   0    0   0   2    0   0   0    1   2   1
  1    0   0   0    0   0   2    0   0   0    1   2   1
  2    0   0   0    0   0   2    1   1   0    1   2   1
  2    1   0   0    0   0   2    1   1   0    1   2   1
  2    1   1   0    0   0   2    1   1   0    1   2   1
  2    0   1   0    0   0   2    1   1   0    1   2   1
  2    0   2   0    0   0   2    1   1   0    1   2   1
  2    0   0   0    0   0   2    1   1   0    1   2   1
  2    0   0   0    0   0   0    1   1   0    1   2   1
  2    0   0   0    0   0   1    0   0   0    1   2   1
  2    0   0   0    0   0   2    0   0   0    1   2   2
  3    0   0   0    0   0   2    0   0   0    1   2   2
  3    3   0   0    0   0   2    0   0   0    1   2   2
  3    3   3   0    0   0   2    0   0   0    1   2   2
  3    3   3   3    0   0   2    0   0   0    1   2   2
  3    3   3   3    3   0   2    0   0   0    1   2   2
  3    3   3   3    3   3   2    0   0   0    1   2   2
  3    3   3   3    3   3   0    0   0   0    1   2   2
  3    3   3   3    3   3   3    0   0   0    1   2   2

[34;1mRun n.º 4[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   1   0    0   0   0    0   1   1    0   0   0
  2    0   1   1    0   0   0    0   1   1    0   0   0
  2    0   0   1    0   0   0    0   1   1    0   0   0
  2    0   0   2    0   0   0    0   1   1    0   0   0
  2    0   0   2    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    1   0   0    0   0   0    0   0   0
  2    0   0   0    2   0   0    0   0   0    1   0   0
  1    0   0   0    2   0   0    0   0   0    1   0   0
  2    0   0   0    2   0   0    1   1   0    1   0   0
  2    0   1   0    2   0   0    1   1   0    1   0   0
  2    0   0   0    2   0   0    1   1   0    1   0   0
  2    1   0   0    2   0   0    1   1   0    1   0   0
  2    2   0   0    2   0   0    1   1   0    1   0   0
  2    0   0   0    2   0   0    1   1   0    1   0   0
  2    0   0   0    0   0   0    1   1   0    1   0   0
  2    0   0   0    0   0   0    1   1   0    1   0   0
  2    0   0   0    0   0   1    0   0   0    1   0   0
  2    0   0   0    0   0   2    0   0   0    1   0   1
  1    0   0   0    0   0   2    0   0   0    1   0   1
  2    0   0   0    0   0   2    1   0   1    1   0   1
  2    0   0   1    0   0   2    1   0   1    1   0   1
  2    0   0   0    0   0   2    1   0   1    1   0   1
  2    1   0   0    0   0   2    1   0   1    1   0   1
  2    2   0   0    0   0   2    1   0   1    1   0   1
  2    0   0   0    0   0   2    1   0   1    1   0   1
  2    0   0   0    0   1   2    0   0   0    1   0   1
  2    0   0   0    0   1   0    0   0   0    1   0   1
  2    0   0   0    0   2   0    0   0   0    1   1   1
  1    0   0   0    0   2   0    0   0   0    1   1   1
  2    0   0   0    0   2   0    1   0   1    1   1   1
  2    1   0   0    0   2   0    1   0   1    1   1   1
  2    1   0   1    0   2   0    1   0   1    1   1   1
  2    0   0   1    0   2   0    1   0   1    1   1   1
  2    0   0   1    0   0   0    1   0   1    1   1   1
  2    0   0   2    0   0   0    1   0   1    1   1   1
  2    0   0   0    0   0   0    1   0   1    1   1   1
  2    0   0   0    0   1   0    0   0   0    1   1   1
  2    0   0   0    0   2   0    0   0   0    1   2   1
  1    0   0   0    0   2   0    0   0   0    1   2   1
  2    0   0   0    0   2   0    0   1   1    1   2   1
  2    0   1   0    0   2   0    0   1   1    1   2   1
  2    0   0   0    0   2   0    0   1   1    1   2   1
  2    0   0   1    0   2   0    0   1   1    1   2   1
  2    0   0   2    0   2   0    0   1   1    1   2   1
  2    0   0   2    0   0   0    0   1   1    1   2   1
  2    0   0   0    0   0   0    0   1   1    1   2   1
  2    0   0   0    1   0   0    0   0   0    1   2   1
  2    0   0   0    2   0   0    0   0   0    2   2   1
  3    0   0   0    2   0   0    0   0   0    2   2   1
  3    0   3   0    2   0   0    0   0   0    2   2   1
  3    0   3   3    2   0   0    0   0   0    2   2   1
  3    3   3   3    2   0   0    0   0   0    2   2   1
  3    3   3   3    2   3   0    0   0   0    2   2   1
  3    3   3   3    2   3   3    0   0   0    2   2   1
  3    3   3   3    0   3   3    0   0   0    2   2   1
  3    3   3   3    3   3   3    0   0   0    2   2   1

[34;1mRun n.º 5[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    1   1   0    0   0   0
  1    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   1   0    0   0   0    1   1   0    0   0   0
  2    0   1   0    0   0   0    1   1   0    0   0   0
  2    1   1   0    0   0   0    1   1   0    0   0   0
  2    1   0   0    0   0   0    1   1   0    0   0   0
  2    2   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   1    0   0   0    0   0   0
  2    0   0   0    0   0   2    0   0   0    0   0   1
  1    0   0   0    0   0   2    0   0   0    0   0   1
  1    1   0   0    0   0   2    1   1   0    0   0   1
  2    1   0   0    0   0   2    1   1   0    0   0   1
  2    0   0   0    0   0   2    1   1   0    0   0   1
  2    0   1   0    0   0   2    1   1   0    0   0   1
  2    0   1   0    0   0   0    1   1   0    0   0   1
  2    0   2   0    0   0   0    1   1   0    0   0   1
  2    0   0   0    0   0   0    1   1   0    0   0   1
  2    0   0   0    0   0   1    0   0   0    0   0   1
  2    0   0   0    0   0   2    0   0   0    0   0   2
  1    0   0   0    0   0   2    0   0   0    0   0   2
  2    0   0   0    0   0   2    0   1   1    0   0   2
  2    0   1   0    0   0   2    0   1   1    0   0   2
  2    0   1   1    0   0   2    0   1   1    0   0   2
  2    0   0   1    0   0   2    0   1   1    0   0   2
  2    0   0   2    0   0   2    0   1   1    0   0   2
  2    0   0   2    0   0   0    0   1   1    0   0   2
  2    0   0   0    0   0   0    0   1   1    0   0   2
  2    0   0   0    1   0   0    0   0   0    0   0   2
  2    0   0   0    2   0   0    0   0   0    1   0   2
  1    0   0   0    2   0   0    0   0   0    1   0   2
  2    0   0   0    2   0   0    1   1   0    1   0   2
  2    0   1   0    2   0   0    1   1   0    1   0   2
  2    0   0   0    2   0   0    1   1   0    1   0   2
  2    1   0   0    2   0   0    1   1   0    1   0   2
  2    2   0   0    2   0   0    1   1   0    1   0   2
  2    0   0   0    2   0   0    1   1   0    1   0   2
  2    0   0   0    2   0   1    0   0   0    1   0   2
  2    0   0   0    0   0   1    0   0   0    1   0   2
  2    0   0   0    0   0   2    0   0   0    1   0   3
  1    0   0   0    0   0   2    0   0   0    1   0   3
  2    0   0   0    0   0   2    1   0   1    1   0   3
  2    0   0   1    0   0   2    1   0   1    1   0   3
  2    0   0   0    0   0   2    1   0   1    1   0   3
  2    1   0   0    0   0   2    1   0   1    1   0   3
  2    2   0   0    0   0   2    1   0   1    1   0   3
  2    0   0   0    0   0   2    1   0   1    1   0   3
  2    0   0   0    0   1   2    0   0   0    1   0   3
  2    0   0   0    0   1   0    0   0   0    1   0   3
  2    0   0   0    0   2   0    0   0   0    1   1   3
  3    0   0   0    0   2   0    0   0   0    1   1   3
  3    0   3   0    0   2   0    0   0   0    1   1   3
  3    0   3   3    0   2   0    0   0   0    1   1   3
  3    0   3   3    0   2   3    0   0   0    1   1   3
  3    3   3   3    0   2   3    0   0   0    1   1   3
  3    3   3   3    0   0   3    0   0   0    1   1   3
  3    3   3   3    3   0   3    0   0   0    1   1   3
  3    3   3   3    3   3   3    0   0   0    1   1   3

[34;1mRun n.º 6[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   1   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    1   0   0    0   0   0    1   1   0    0   0   0
  2    2   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   0    1   1   0    0   0   0
  2    0   0   0    0   0   1    0   0   0    0   0   0
  2    0   0   0    0   0   2    0   0   0    0   0   1
  1    0   0   0    0   0   2    0   0   0    0   0   1
  2    0   0   0    0   0   2    1   0   1    0   0   1
  2    1   0   0    0   0   2    1   0   1    0   0   1
  2    1   0   0    0   0   0    1   0   1    0   0   1
  2    1   0   1    0   0   0    1   0   1    0   0   1
  2    0   0   1    0   0   0    1   0   1    0   0   1
  2    0   0   2    0   0   0    1   0   1    0   0   1
  2    0   0   0    0   0   0    1   0   1    0   0   1
  2    0   0   0    0   1   0    0   0   0    0   0   1
  2    0   0   0    0   2   0    0   0   0    0   1   1
  1    0   0   0    0   2   0    0   0   0    0   1   1
  2    0   0   0    0   2   0    0   1   1    0   1   1
  2    0   0   1    0   2   0    0   1   1    0   1   1
  2    0   0   0    0   2   0    0   1   1    0   1   1
  2    0   1   0    0   2   0    0   1   1    0   1   1
  2    0   2   0    0   2   0    0   1   1    0   1   1
  2    0   0   0    0   2   0    0   1   1    0   1   1
  2    0   0   0    1   2   0    0   0   0    0   1   1
  2    0   0   0    1   0   0    0   0   0    0   1   1
  2    0   0   0    2   0   0    0   0   0    1   1   1
  1    0   0   0    2   0   0    0   0   0    1   1   1
  2    0   0   0    2   0   0    1   0   1    1   1   1
  2    1   0   0    2   0   0    1   0   1    1   1   1
  2    1   0   1    2   0   0    1   0   1    1   1   1
  2    0   0   1    2   0   0    1   0   1    1   1   1
  2    0   0   2    2   0   0    1   0   1    1   1   1
  2    0   0   2    0   0   0    1   0   1    1   1   1
  2    0   0   0    0   0   0    1   0   1    1   1   1
  2    0   0   0    0   1   0    0   0   0    1   1   1
  2    0   0   0    0   2   0    0   0   0    1   2   1
  1    0   0   0    0   2   0    0   0   0    1   2   1
  2    0   0   0    0   2   0    1   0   1    1   2   1
  2    1   0   0    0   2   0    1   0   1    1   2   1
  2    1   0   1    0   2   0    1   0   1    1   2   1
  2    0   0   1    0   2   0    1   0   1    1   2   1
  2    0   0   2    0   2   0    1   0   1    1   2   1
  2    0   0   0    0   2   0    1   0   1    1   2   1
  2    0   0   0    0   0   0    1   0   1    1   2   1
  2    0   0   0    0   1   0    0   0   0    1   2   1
  2    0   0   0    0   2   0    0   0   0    1   3   1
  3    0   0   0    0   2   0    0   0   0    1   3   1
  3    3   0   0    0   2   0    0   0   0    1   3   1
  3    3   3   0    0   2   0    0   0   0    1   3   1
  3    3   3   3    0   2   0    0   0   0    1   3   1
  3    3   3   3    3   2   0    0   0   0    1   3   1
  3    3   3   3    3   2   3    0   0   0    1   3   1
  3    3   3   3    3   0   3    0   0   0    1   3   1
  3    3   3   3    3   3   3    0   0   0    1   3   1

[34;1mRun n.º 7[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   1   1    0   0   0
  1    0   0   0    0   0   0    0   1   1    0   0   0
  1    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   1   0    0   0   0    0   1   1    0   0   0
  2    0   1   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   1    0   0   0    0   1   1    0   0   0
  2    0   0   2    0   0   0    0   1   1    0   0   0
  2    0   0   0    0   0   0    0   1   1    0   0   0
  2    0   0   0    1   0   0    0   0   0    0   0   0
  2    0   0   0    2   0   0    0   0   0    1   0   0
  1    0   0   0    2   0   0    0   0   0    1   0   0
  2    0   0   0    2   0   0    1   1   0    1   0   0
  2    1   0   0    2   0   0    1   1   0    1   0   0
  2    1   1   0    2   0   0    1   1   0    1   0   0
  2    0   1   0    2   0   0    1   1   0    1   0   0
  2    0   2   0    2   0   0    1   1   0    1   0   0
  2    0   0   0    2   0   0    1   1   0    1   0   0
  2    0   0   0    2   0   1    0   0   0    1   0   0
  2    0   0   0    0   0   1    0   0   0    1   0   0
  2    0   0   0    0   0   2    0   0   0    1   0   1
  1    0   0   0    0   0   2    0   0   0    1   0   1
  2    0   0   0    0   0   2    0   1   1    1   0   1
  2    0   1   0    0   0   2    0   1   1    1   0   1
  2    0   1   1    0   0   2    0   1   1    1   0   1
  2    0   0   1    0   0   2    0   1   1    1   0   1
  2    0   0   2    0   0   2    0   1   1    1   0   1
  2    0   0   0    0   0   2    0   1   1    1   0   1
  2    0   0   0    1   0   2    0   0   0    1   0   1
  2    0   0   0    1   0   0    0   0   0    1   0   1
  2    0   0   0    2   0   0    0   0   0    2   0   1
  1    0   0   0    2   0   0    0   0   0    2   0   1
  2    0   0   0    2   0   0    0   1   1    2   0   1
  2    0   0   1    2   0   0    0   1   1    2   0   1
  2    0   1   1    2   0   0    0   1   1    2   0   1
  2    0   1   0    2   0   0    0   1   1    2   0   1
  2    0   2   0    2   0   0    0   1   1    2   0   1
  2    0   0   0    2   0   0    0   1   1    2   0   1
  2    0   0   0    0   0   0    0   1   1    2   0   1
  2    0   0   0    1   0   0    0   0   0    2   0   1
  2    0   0   0    2   0   0    0   0   0    3   0   1
  1    0   0   0    2   0   0    0   0   0    3   0   1
  2    0   0   0    2   0   0    0   1   1    3   0   1
  2    0   0   1    2   0   0    0   1   1    3   0   1
  2    0   1   1    2   0   0    0   1   1    3   0   1
  2    0   1   0    2   0   0    0   1   1    3   0   1
  2    0   2   0    2   0   0    0   1   1    3   0   1
  2    0   0   0    2   0   0    0   1   1    3   0   1
  2    0   0   0    0   0   0    0   1   1    3   0   1
  2    0   0   0    1   0   0    0   0   0    3   0   1
  2    0   0   0    2   0   0    0   0   0    4   0   1
  3    0   0   0    2   0   0    0   0   0    4   0   1
  3    3   0   0    2   0   0    0   0   0    4   0   1
  3    3   3   0    2   0   0    0   0   0    4   0   1
  3    3   3   3    2   0   0    0   0   0    4   0   1
  3    3   3   3    2   3   0    0   0   0    4   0   1
  3    3   3   3    2   3   3    0   0   0    4   0   1
  3    3   3   3    0   3   3    0   0   0    4   0   1
  3    3   3   3    3   3   3    0   0   0    4   0   1

[34;1mRun n.º 8[0m
                     Smokers - Description of the internal state

 AG  W00 W01 W02  S00 S01 S02  I00 I01 I02  C00 C01 C02
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    0   0   0    0   0   0
  1    0   0   0    0   0   0    1   0   1    0   0   0
  1    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    1   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   1    0   0   0    1   0   1    0   0   0
  2    0   0   2    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   0   0    1   0   1    0   0   0
  2    0   0   0    0   1   0    0   0   0    0   0   0
  2    0   0   0    0   2   0    0   0   0    0   1   0
  1    0   0   0    0   2   0    0   0   0    0   1   0
  2    0   0   0    0   2   0    1   0   1    0   1   0
  2    0   0   1    0   2   0    1   0   1    0   1   0
  2    0   0   0    0   2   0    1   0   1    0   1   0
  2    1   0   0    0   2   0    1   0   1    0   1   0
  2    2   0   0    0   2   0    1   0   1    0   1   0
  2    0   0   0    0   2   0    1   0   1    0   1   0
  2    0   0   0    0   0   0    1   0   1    0   1   0
  2    0   0   0    0   1   0    0   0   0    0   1   0
  2    0   0   0    0   2   0    0   0   0    0   2   0
  1    0   0   0    0   2   0    0   0   0    0   2   0
  2    0   0   0    0   2   0    1   1   0    0   2   0
  2    0   1   0    0   2   0    1   1   0    0   2   0
  2    0   0   0    0   2   0    1   1   0    0   2   0
  2    1   0   0    0   2   0    1   1   0    0   2   0
  2    2   0   0    0   2   0    1   1   0    0   2   0
  2    0   0   0    0   2   0    1   1   0    0   2   0
  2    0   0   0    0   2   1    0   0   0    0   2   0
  2    0   0   0    0   0   1    0   0   0    0   2   0
  2    0   0   0    0   0   2    0   0   0    0   2   1
  1    0   0   0    0   0   2    0   0   0    0   2   1
  2    0   0   0    0   0   2    1   1   0    0   2   1
  2    1   0   0    0   0   2    1   1   0    0   2   1
  2    1   1   0    0   0   2    1   1   0    0   2   1
  2    0   1   0    0   0   2    1   1   0    0   2   1
  2    0   2   0    0   0   2    1   1   0    0   2   1
  2    0   0   0    0   0   2    1   1   0    0   2   1
  2    0   0   0    0   0   0    1   1   0    0   2   1
  2    0   0   0    0   0   1    0   0   0    0   2   1
  2    0   0   0    0   0   2    0   0   0    0   2   2
